,user_reviews,char_count,word_count,str,sentiment
26,decent set deco battle royal flavorsa bit long runtime especially first halfvery bloody gory timesaddictive thats cup tv tea,157.0,26,"0                                                     NAN
1                                                     NAN
2       Well multiple games actually, but even that yo...
3                                                     NAN
4       Even if you've seen ""The Hunger Games"" and ""Mo...
                              ...                        
2250                                                  NaN
2251                                                  NaN
2252                                                  NaN
2253                                                  NaN
2254                                                  NaN
Name: user_reviews, Length: 2255, dtype: object",Negative
30,characters well written sadly cant say story lot plotholes overall sruff didnt make sense apart aspects pretty much fine average series certainly great anything710 good great,313.0,57,"0                                                     NAN
1                                                     NAN
2       Well multiple games actually, but even that yo...
3                                                     NAN
4       Even if you've seen ""The Hunger Games"" and ""Mo...
                              ...                        
2250                                                  NaN
2251                                                  NaN
2252                                                  NaN
2253                                                  NaN
2254                                                  NaN
Name: user_reviews, Length: 2255, dtype: object",Negative
31,entire premise based lets play games played kids based skill completely fair equal ground series keeps premise ep01 ep05 becomes rigged also longer based skill completely based luck giant problem entire premise play fair games based skill throw window honestly series pretty great series poor 510 didnt completely throw premise series based half way line would 910 series think make season2 hope god season2 dont completely derail premise like season1 season1 completely spoiled,892.0,163,"0                                                     NAN
1                                                     NAN
2       Well multiple games actually, but even that yo...
3                                                     NAN
4       Even if you've seen ""The Hunger Games"" and ""Mo...
                              ...                        
2250                                                  NaN
2251                                                  NaN
2252                                                  NaN
2253                                                  NaN
2254                                                  NaN
Name: user_reviews, Length: 2255, dtype: object",Negative
36,finally wins moneyonly lose 3 seconds later turned didnt come back eventually pretty good course drags 30 minute episodes 1 hour long episodesbut still good twists predictable police brother old man obviousand message showbeing rich awfullol korea must lots poor people,436.0,80,"0                                                     NAN
1                                                     NAN
2       Well multiple games actually, but even that yo...
3                                                     NAN
4       Even if you've seen ""The Hunger Games"" and ""Mo...
                              ...                        
2250                                                  NaN
2251                                                  NaN
2252                                                  NaN
2253                                                  NaN
2254                                                  NaN
Name: user_reviews, Length: 2255, dtype: object",Negative
43,definitely slow burn first 2 episodes give taste whats come rest season probably wont able stop watching thanks story characters thrills twists games course gore,265.0,50,"0                                                     NAN
1                                                     NAN
2       Well multiple games actually, but even that yo...
3                                                     NAN
4       Even if you've seen ""The Hunger Games"" and ""Mo...
                              ...                        
2250                                                  NaN
2251                                                  NaN
2252                                                  NaN
2253                                                  NaN
2254                                                  NaN
Name: user_reviews, Length: 2255, dtype: object",Negative
50,tv show good something different used watch original,109.0,22,"0                                                     NAN
1                                                     NAN
2       Well multiple games actually, but even that yo...
3                                                     NAN
4       Even if you've seen ""The Hunger Games"" and ""Mo...
                              ...                        
2250                                                  NaN
2251                                                  NaN
2252                                                  NaN
2253                                                  NaN
2254                                                  NaN
Name: user_reviews, Length: 2255, dtype: object",Negative
53,first korean drama ive watched absolutely blown away couple moments thought story dragged little however added tension im sure absolutely stunning look really well done cant wait see happens next series,313.0,59,"0                                                     NAN
1                                                     NAN
2       Well multiple games actually, but even that yo...
3                                                     NAN
4       Even if you've seen ""The Hunger Games"" and ""Mo...
                              ...                        
2250                                                  NaN
2251                                                  NaN
2252                                                  NaN
2253                                                  NaN
2254                                                  NaN
Name: user_reviews, Length: 2255, dtype: object",Negative
57,plot similar saw lost butthe korean makers given enough depth characters web series feel characters even though predictable enough shock value moments keeps hooked worth binge watching,267.0,46,"0                                                     NAN
1                                                     NAN
2       Well multiple games actually, but even that yo...
3                                                     NAN
4       Even if you've seen ""The Hunger Games"" and ""Mo...
                              ...                        
2250                                                  NaN
2251                                                  NaN
2252                                                  NaN
2253                                                  NaN
2254                                                  NaN
Name: user_reviews, Length: 2255, dtype: object",Negative
60,talk reviews bewildered im ep3 struggling 5 attempts start bingeingi find boring really childish pretty ordinary actingthe set design art direction general production values 1970stwo attempts ill give,297.0,49,"0                                                     NAN
1                                                     NAN
2       Well multiple games actually, but even that yo...
3                                                     NAN
4       Even if you've seen ""The Hunger Games"" and ""Mo...
                              ...                        
2250                                                  NaN
2251                                                  NaN
2252                                                  NaN
2253                                                  NaN
2254                                                  NaN
Name: user_reviews, Length: 2255, dtype: object",Negative
82,dose enthusiasm suspense beautiful end supposed beautiful,103.0,19,"0                                                     NAN
1                                                     NAN
2       Well multiple games actually, but even that yo...
3                                                     NAN
4       Even if you've seen ""The Hunger Games"" and ""Mo...
                              ...                        
2250                                                  NaN
2251                                                  NaN
2252                                                  NaN
2253                                                  NaN
2254                                                  NaN
Name: user_reviews, Length: 2255, dtype: object",Negative
83,needs watch 455 people murdered odd messaging capitalism income disparity coupled reality tv shows hey ccool look losers dont fall pool fall incinerator give pass,235.0,41,"0                                                     NAN
1                                                     NAN
2       Well multiple games actually, but even that yo...
3                                                     NAN
4       Even if you've seen ""The Hunger Games"" and ""Mo...
                              ...                        
2250                                                  NaN
2251                                                  NaN
2252                                                  NaN
2253                                                  NaN
2254                                                  NaN
Name: user_reviews, Length: 2255, dtype: object",Negative
93,bingewatched one every episode addictive tenseall episodes emotionnal reached conclusion letdown huge anticlimatic endingi would still recommend watching,219.0,32,"0                                                     NAN
1                                                     NAN
2       Well multiple games actually, but even that yo...
3                                                     NAN
4       Even if you've seen ""The Hunger Games"" and ""Mo...
                              ...                        
2250                                                  NaN
2251                                                  NaN
2252                                                  NaN
2253                                                  NaN
2254                                                  NaN
Name: user_reviews, Length: 2255, dtype: object",Negative
98,inclusion cheesy acting writing vip segment middle much quality work koreans trying broaden american interest recreating cheesy acting writing usually popular american action movies,244.0,41,"0                                                     NAN
1                                                     NAN
2       Well multiple games actually, but even that yo...
3                                                     NAN
4       Even if you've seen ""The Hunger Games"" and ""Mo...
                              ...                        
2250                                                  NaN
2251                                                  NaN
2252                                                  NaN
2253                                                  NaN
2254                                                  NaN
Name: user_reviews, Length: 2255, dtype: object",Negative
