,reviews_title,char_count,word_count,sentiment
3,hell theres rules hell deoksu episode 7,71,13,Negative
5,games die,18,4,Negative
7,think good please watch korean movie oldboy,65,12,Negative
11,10th time father give strength,41,7,Negative
12,good enough,13,2,Negative
24,pretty good series,21,3,Negative
30,squite good,13,2,Negative
34,path good parasite violent looks like,79,17,Negative
37,good,6,1,Negative
44,beginning stupid gets better,44,8,Negative
59,good original tv show,27,5,Negative
63,wow,5,1,Negative
64,great concept bad acting,26,4,Negative
66,get series obvious becomes doppelganger animal world,109,20,Negative
69,wellacted engrossing writing little sloppy pretentious,88,14,Negative
71,ep 3 multiple attempts get going,52,10,Negative
72,except last episode,29,5,Negative
74,innovative concept finished bit hastily,51,8,Negative
81,offence defence,22,4,Negative
82,two thirds great one third drab,39,7,Negative
85,everything korea interesting anything hollywood,67,9,Negative
88,good,11,2,Negative
90,pressure,14,2,Negative
91,another korean hit,20,3,Negative
98,bad taste violence porn,25,4,Negative
100,kaiji ripoff alright,32,5,Negative
103,straight 10,26,6,Negative
104,tvs next obsession,39,8,Negative
106,fantastic wheres lee byunghun credit imdb,58,9,Negative
109,enthralling entertaining experience,41,4,Negative
112,watch original korean dialogue,38,5,Negative
117,original watchable,33,5,Negative
120,maybe,10,1,Negative
121,greatif watch reverse,37,6,Negative
124,went problems got good bad ugly,81,17,Negative
128,happily bandwagon,26,4,Negative
134,second half dumb silly,28,5,Negative
137,avoid spoilers otherwise show falls apart completely,59,8,Negative
142,real page turner book,40,9,Negative
147,marathon worthy,17,2,Negative
152,dont get rave reviews,34,7,Negative
158,dont change thing,21,4,Negative
161,starts bang,24,5,Negative
164,decent weekend watch,24,4,Negative
165,would play,17,3,Negative
169,hey remember name oh ill lam,35,8,Negative
171,good series upto hype,35,7,Negative
176,big budget window dressing,28,4,Negative
179,highly overrated garbage,27,3,Negative
181,okay,11,2,Negative
183,modern day twilight zone,26,4,Negative
186,aka end lame,25,5,Negative
187,emotional roller coaster ride,32,4,Negative
196,good deed goes unpunished,31,5,Negative
199,decent watch,14,2,Negative
203,another interesting story knew would crawl potent trope hardcore stereotype asian show,109,17,Negative
205,annoying police officer,29,4,Negative
208,interesting start overatayed welcome,47,6,Negative
210,good starting terrible ending,32,4,Negative
211,good starting terrible ending,32,4,Negative
212,would rather,19,3,Negative
216,physiological thriller anime style,36,4,Negative
218,starts strong gets pretty weak end,53,10,Negative
221,op show except vips,31,6,Negative
224,finished,21,3,Negative
225,dont get,18,4,Negative
227,hyped okay,22,4,Negative
228,kids games survival,32,5,Negative
231,bad gum,19,5,Negative
233,yikes okay,18,2,Negative
240,meh pretty much thing,48,9,Negative
243,another stupid metaphor capitalism,42,5,Negative
246,another blinder korea,28,4,Negative
250,better money heist,25,4,Negative
253,review first episode,47,9,Negative
254,totally pointless,19,2,Negative
255,first episodes 10,34,6,Negative
261,lame,6,1,Negative
262,79 addicting problems,37,6,Negative
263,decent korean show,20,3,Negative
264,seriously,14,1,Negative
266,good show,11,2,Negative
270,huh,8,1,Negative
277,decent first half masterful second half,43,6,Negative
279,would 1010,27,5,Negative
280,great start bad finish,26,4,Negative
281,shockingly good thriller ending bit weak,45,7,Negative
282,shallow plot seemingly mimicked series,51,7,Negative
284,writer director show psychopath,49,8,Negative
286,amazing series wow,25,4,Negative
288,good,10,2,Negative
291,hell,27,5,Negative
293,dumb variant death games,31,6,Negative
297,could better,24,4,Negative
299,thought provoking,20,2,Negative
307,good,14,2,Negative
309,absolutely atrocious,22,2,Negative
315,weird,11,2,Negative
317,first 6 eps great last 3 lame,42,9,Negative
323,battle royale cliche redeeming points,53,8,Negative
324,updated take old idea,32,7,Negative
325,good show,20,3,Negative
333,amazing show amazing someone please update correct actors imdb page wrong right actors getting credit0,158,28,Negative
334,pointlessly bloody,20,2,Negative
337,limp finish line,27,6,Negative
338,predictable,13,1,Negative
340,mediocre despite intriguing premise,38,4,Negative
341,series iliterate audience,33,5,Negative
342,misogynistic ageist racist brain rot,40,5,Negative
345,absolute garbage,18,2,Negative
347,totally predictable,21,2,Negative
348,long slow paced alright,38,7,Negative
350,great show poor acting,33,6,Negative
353,dont get,21,4,Negative
355,lacking likable characters,28,3,Negative
356,lesbians love,42,8,Negative
357,predictable,14,1,Negative
359,squander,15,2,Negative
360,stupid games stupid people,32,5,Negative
361,good,11,2,Negative
363,story intriguing dubbing poor,51,9,Negative
364,poor,6,1,Negative
365,idea new,21,5,Negative
366,good show super hyped though,37,7,Negative
372,totally bingeworthy,22,2,Negative
376,boring,11,1,Negative
379,entertaining slow poor plot,37,6,Negative
381,lack one thing,25,5,Negative
388,interesting insight,21,2,Negative
394,wondering acting bad lost korean,71,15,Negative
397,saw rip,13,3,Negative
398,geniuses underwhelming predictable,50,6,Negative
399,2hr movie converted 9hr series,35,6,Negative
400,started great got predictable wrapped quickly,69,12,Negative
402,dont get hype,22,5,Negative
403,overrated ending s01e08 stupid,42,7,Negative
404,hole search plot,28,7,Negative
405,wow good way,29,7,Negative
406,great shoot korea,21,3,Negative
419,watch subtitles dub,34,6,Negative
424,stupid,9,1,Negative
425,good find onboard week netflix,68,12,Negative
428,downhill half way,32,5,Negative
435,please,15,2,Negative
437,started serious flare lost momentum,50,8,Negative
438,predictable overrated,27,3,Negative
439,dont get hype,21,5,Negative
442,good episode vip,26,4,Negative
444,okay terrible ending done many times,71,12,Negative
445,ending stupid,22,4,Negative
446,wow man este show es fantstico triste,43,8,Negative
