,reviews_title,char_count,word_count,sentiment
0,never dullbut let kids watch one,55,10,Positive
1,new tv classic,18,4,Positive
2,,13,3,Positive
4,trust never seen anything like,50,9,Positive
6,violent funny atypical k drama,32,5,Positive
8,8,3,1,Positive
9,started strong ended disoriented,45,7,Positive
10,good concept solid excecution,35,5,Positive
13,close perfect still amazing,45,8,Positive
14,perfect beautiful lovely,34,4,Positive
15,addicting,11,1,Positive
16,violent implausible oddly engrossing,43,5,Positive
17,storyline series unique creative spin similar films like battle royale hunger games lord flies,142,26,Positive
18,fantastic truly unique show,31,5,Positive
19,true social commentary humanity competition avarice,65,9,Positive
20,life,16,4,Positive
21,excellent new korean series concept viewers enjoy highly recommended,75,11,Positive
22,ruthless addictive,24,3,Positive
23,korean soap opera meets hunger games,38,6,Positive
25,woouuuughhhhh,15,1,Positive
26,wrong skeptical,30,6,Positive
27,tense commentary societys many debts,43,6,Positive
28,beautiful,11,1,Positive
29,court calamari,26,4,Positive
31,childrens games never exciting,48,7,Positive
32,first half decent feel overstaythe games lost appeals 5th one,79,14,Positive
33,fun horror show,17,3,Positive
35,intense entertaining thriller,35,4,Positive
36,life greed,16,3,Positive
38,writing steals limelight,40,6,Positive
39,starts amazing ep05 loses drive,59,11,Positive
40,didnt understand,36,6,Positive
41,excellent series,18,2,Positive
42,overall excellent series,30,4,Positive
43,hidden gem,12,2,Positive
45,nice tv show great moments,38,7,Positive
46,great addictive netflix series,36,5,Positive
47,great perfect,23,4,Positive
48,good though certainly original,36,5,Positive
49,timeless story,16,2,Positive
50,well done,11,2,Positive
51,bloody story isnt everyone,40,7,Positive
52,worth watch,17,3,Positive
53,loved,21,4,Positive
54,different,24,4,Positive
55,brilliant,11,1,Positive
56,must watch,12,2,Positive
57,desk george washington,36,6,Positive
58,overhyped theres alot good shows nowadays,68,11,Positive
60,surpasses hype,30,5,Positive
61,overhyped netflix production,31,3,Positive
62,mixtape algorithm,19,2,Positive
65,best show first 3 episodes,46,9,Positive
67,phenomenal korean drama,25,3,Positive
68,terrific survival drama,27,3,Positive
70,great show,12,2,Positive
73,intense,14,2,Positive
75,compelling originality,25,2,Positive
76,good watch,12,2,Positive
77,masterful series showcases feelings humankind greediness much capitalism,103,16,Positive
78,masterclass hiccups,39,7,Positive
79,hell salvation,19,3,Positive
80,lord flies x man seasonsand one,58,12,Positive
83,pro quo,15,3,Positive
84,ingenious immensely bingeable thriller series,52,6,Positive
86,wellmade film,16,2,Positive
87,intense radically abstract,35,4,Positive
89,favourite player,20,2,Positive
92,original experience,21,2,Positive
93,description show wrong,39,7,Positive
94,overrated,11,1,Positive
95,excellent,12,1,Positive
96,secret right integrants team strongest,73,14,Positive
97,opinion,12,2,Positive
99,decent korean adventure drama emphasis drama,51,7,Positive
101,big concept fully developed,35,6,Positive
102,smell racism,16,3,Positive
105,must watch,13,2,Positive
107,dystopian tropes,18,2,Positive
108,okay drama weak ending,25,4,Positive
110,compelling fun,20,3,Positive
111,see show popular,36,8,Positive
113,battle royale meets hunger games,38,6,Positive
114,excellent last episode,34,5,Positive
115,omg,5,1,Positive
116,double standards celebrating todays social abyss pretending totally moral,87,12,Positive
118,nice dive korean cinema,34,7,Positive
119,binged meh,21,4,Positive
122,nice,13,3,Positive
123,amazing series,16,2,Positive
125,joins saw hunger games instant classic,54,10,Positive
126,deserves hype,19,3,Positive
127,great virgins genre,33,6,Positive
129,deft writing fine craftmanship made worth hype,59,10,Positive
130,interresting special,30,4,Positive
131,,12,2,Positive
132,genius made show,18,3,Positive
133,gg,4,1,Positive
135,kids level stuff suitable kids,40,7,Positive
136,hardhitting human story shown fun interesting way,57,9,Positive
138,quite good,12,2,Positive
139,overhyped,12,1,Positive
140,entertains educates shocks along way,54,9,Positive
141,bring darkness,23,4,Positive
143,stellar storytelling,22,2,Positive
144,mehh,6,1,Positive
145,good one,15,3,Positive
146,flawed must watch,25,5,Positive
148,popular right reasons,31,5,Positive
149,brutal dark might disturbing still entertaining,67,10,Positive
150,ruthless cruel break nervous system part,64,11,Positive
151,excellent bingeworthy series,30,3,Positive
153,battle royale though,22,3,Positive
154,lets honest,17,3,Positive
155,slowly told survival series,36,6,Positive
156,best thing year,29,6,Positive
157,overrated,11,1,Positive
159,awesome middle beginning end meh,50,9,Positive
160,interesting issues,36,6,Positive
162,brilliant television,23,2,Positive
163,another korean gem,32,5,Positive
166,vs alice borderland,35,6,Positive
167,fun surprisingly emotional,32,4,Positive
168,end vips,30,7,Positive
170,must watch,15,2,Positive
172,better production team still lackings alot,59,10,Positive
173,masterpiece,20,3,Positive
174,major let,16,3,Positive
175,phenomenal,12,1,Positive
177,deserving hype,23,4,Positive
178,hated loved wrong reasons,39,7,Positive
180,good time good,46,10,Positive
182,humans real hypocrites,32,5,Positive
184,hollow pop art,16,3,Positive
185,far masterpiece good enough,40,7,Positive
188,onion show one layer reveals disturbing fact,58,11,Positive
189,solid 7 good excellent,36,7,Positive
190,drama despair deception,27,3,Positive
191,isnt original still well done,52,9,Positive
192,words say outstanding,40,6,Positive
193,childs play,14,2,Positive
194,1010 great tv series must watch unlike series watched,71,12,Positive
195,definitely deserving high rating,46,7,Positive
197,okish,12,1,Positive
198,kind overrated,20,3,Positive
200,aiming high falling short,28,4,Positive
201,better alice borderland,30,5,Positive
202,gruesome sometimes also emotional,39,5,Positive
204,binge worthy show,19,3,Positive
206,great watch great,40,8,Positive
207,amazing aspects horrible others,45,7,Positive
209,great perfect,24,4,Positive
213,good gawdthe english dubbing,34,4,Positive
214,crazy funny moments depth,42,8,Positive
215,show bares truth humanity,42,7,Positive
217,starts slow redeems,33,5,Positive
219,mid way lost,31,6,Positive
220,acting fabulous hard find level nowadays,58,10,Positive
222,entertainment entertainment entertainment series real entertainment,79,9,Positive
223,luckiest unlucky,23,3,Positive
226,near masterpiece,22,3,Positive
229,clever,18,3,Positive
230,disturbing provocative excellent characters,56,6,Positive
232,red light green light,26,4,Positive
234,upset,16,3,Positive
235,great show almost perfectalmost,38,4,Positive
236,human,21,3,Positive
237,8 6 episode 7,29,7,Positive
238,,14,3,Positive
239,money human incentive,31,5,Positive
241,must watch,21,5,Positive
242,absolutely riveting show difficult one watch,58,10,Positive
244,brilliance propaganda,26,3,Positive
245,thing netflix right foreign shows,48,8,Positive
247,collective hallucination,45,7,Positive
248,brilliant enjoyable,30,4,Positive
249,amazing show,14,2,Positive
251,good incredible,33,6,Positive
252,dubbed version,16,2,Positive
256,original language subtitles changed rating,51,7,Positive
257,goodbadgoodbadgoodbadgoodbadgoodbad,47,1,Positive
258,completely overrated,22,2,Positive
259,love korean thriller drama,30,5,Positive
260,exhausting entertaining,41,6,Positive
265,must watch,13,2,Positive
267,wonderful korean series,41,6,Positive
268,great show,12,2,Positive
269,fantastic story brilliant direction one tiny problem,71,10,Positive
271,best acting ive seen,35,7,Positive
272,something different change,34,5,Positive
273,dark disturbing interesting watch,39,5,Positive
274,compulsive,12,1,Positive
275,really worth,25,5,Positive
276,w10w w10w,13,3,Positive
278,watch last episode,41,7,Positive
283,bloodycolorful,19,1,Positive
285,probably best show 2021,33,6,Positive
287,top notch show,16,3,Positive
289,fun,15,3,Positive
290,something different,34,5,Positive
292,squeamish,23,4,Positive
294,liked one lot,22,5,Positive
295,tip review,37,8,Positive
296,movie premyy honest review,28,4,Positive
298,hunger games revisited,24,3,Positive
300,amazing show,16,2,Positive
301,fun plot makes sense,33,7,Positive
302,best korean series ever watch,35,6,Positive
303,outstanding,13,1,Positive
304,new creative series,22,3,Positive
305,btec black mirror,19,3,Positive
306,bloody masterpiece,22,3,Positive
308,pasolini better subject,40,7,Positive
310,amazing show must watch,29,5,Positive
311,truly engaging horrific look reality,48,8,Positive
312,wellmade slow paced,27,4,Positive
313,addictive worth binge watch,40,7,Positive
314,great binge watch agree vips,50,10,Positive
316,unique show,14,2,Positive
318,perfection,13,1,Positive
319,mix things already seen less,39,7,Positive
320,story masterfully told redemption human frailty,65,11,Positive
321,future cinematography,36,5,Positive
322,dark intense,18,3,Positive
326,genius,8,1,Positive
327,end worthy rest,33,7,Positive
328,review ultimate changer korean show,56,9,Positive
329,must watch,12,2,Positive
330,dissapointing ending,22,2,Positive
331,artistic storytelling visual masterpiece,43,4,Positive
332,good show ending sucked balls pardon french,59,11,Positive
335,compassion adrenaline,27,3,Positive
336,really good end,27,5,Positive
339,new standardgreat,20,2,Positive
343,aboard money heist train,36,6,Positive
344,amazing different,23,3,Positive
346,shows weve missing,31,5,Positive
349,unique league,36,7,Positive
351,netflix made great decision making,44,7,Positive
352,much violence,19,3,Positive
354,excellent well written acted,35,6,Positive
358,last 3 episodes didnt conclude well,46,8,Positive
362,loved,14,2,Positive
367,great show,16,2,Positive
368,highly overrated show,23,3,Positive
369,violence,20,3,Positive
370,definitely must watch havent,40,7,Positive
371,really getting others seeing,57,10,Positive
373,epic tv show,14,3,Positive
374,blahhhh,12,1,Positive
375,satire korean society nostalgia,42,7,Positive
377,slightly overrated,20,2,Positive
378,watch,22,5,Positive
380,pleasant thrilling surprise,32,4,Positive
382,intense,10,1,Positive
383,death life games money,32,6,Positive
384,perfect amazing,28,4,Positive
385,quality show extremely suspenseful,40,5,Positive
386,saw meets oldboy nutshell,32,6,Positive
387,overhyped,11,1,Positive
389,shocks pulls,25,5,Positive
390,one well made show history,48,10,Positive
391,final episode reveal dont open yet,68,13,Positive
392,one favourite korean shows,47,9,Positive
393,meh,9,2,Positive
395,hype,16,3,Positive
396,46 billion,18,3,Positive
401,another gem south korea,30,5,Positive
407,extremely good dark action thriller except one major flaw,64,10,Positive
408,outstanding,13,1,Positive
409,absolute masterpiece,25,3,Positive
410,hell love,29,5,Positive
411,outstanding series captures best features contemporaries,77,11,Positive
412,enjoyed every single one episodes,43,7,Positive
413,excellent series,18,2,Positive
414,magnificent short show,25,3,Positive
415,magnificent show,18,2,Positive
416,average thriller class cameos,38,6,Positive
417,great idea well executed outdated trope top acting,67,11,Positive
418,great marketing,17,2,Positive
420,people see,29,6,Positive
421,really,9,1,Positive
422,fairtomiddling,18,1,Positive
423,darker hunger games,23,4,Positive
426,awesome show quirks,35,6,Positive
427,original creative,24,3,Positive
429,innovative,12,1,Positive
430,overrated show,24,3,Positive
431,definitely worth time,28,4,Positive
432,timeless piece art,23,4,Positive
433,interesting entertaining,30,3,Positive
434,masterpiece,15,2,Positive
436,solid nothing,28,4,Positive
440,overhyped disappointing,29,3,Positive
441,entertaining couldve better,39,5,Positive
443,well written korean drama great acting,45,7,Positive
449,fantastic series let slightly meh finale,52,9,Positive
450,one word description either choose money love humanity,64,11,Positive
451,awesome,9,1,Positive
453,enjoyable show,19,3,Positive
455,absorbing,11,1,Positive
456,masterpiece,14,1,Positive
459,gloriously eccentric,23,2,Positive
461,different engaging 88 6 7,55,12,Positive
462,average,14,2,Positive
464,hype hype hype,20,3,Positive
465,blue masterpiece,33,6,Positive
466,schmid,14,2,Positive
