comment_er,level,comment_time,caption,content,support,object,feedback
霧風誌MONA,力荐,2021-09-19 15:40:14,《鱿鱼游戏》的空间与符号隐喻分析，人性外“浓缩”的社会规则,（首发于公众号：霧風誌，欢迎关注！）巧用“反差”形成张力，空间隐喻造“楚门的世界”相比较其他杀人游戏题材的作品，《鱿鱼游戏》的6局游戏设计显得十分“小儿科”，都是小孩子才会玩的：一二三木头人、扣糖饼、拔河、弹珠、过独木桥、鱿鱼游戏。小儿科的游戏变成恐怖的,2568,122,483回应
巴斯特德,力荐,2021-09-20 14:27:58,我讨厌那些理智的评论,这个电视剧里设计的游戏就是你我身处真实世界的一个形态变化。每一次，大家都在强调，人不是数字，人不是符号，人是真实的人。但我反而觉得，越强调什么，便是越害怕什么，越重申什么，便是越将要变成什么。说到底，我们就是数字。非洲的角马过河的时候，被鳄鱼咬住脖子，这,1168,153,256回应
柒,还行,2021-09-19 19:41:11,我赌马打架不工作啃老但我知道我是个好爸爸好儿子,圣父，是众生之父。这部片子我原本是带着“哇！网飞+韩国这种组合，这演人性不是底线击飞！期待期待！！”谁知道看完有点觉得“啊，这！这还有必要拍第二部吗？”男主因为一次罢工事件让他十年啃老，可以理解但是我不接受；罢工那天老婆生产昏迷不去陪着，竟然是陪着昏迷同,1015,123,553回应
虞衾,暂无评价,2021-09-19 23:42:05,男主不是圣父，而是伪善，坏而不自知！！,看完我最大的疑问就是这样的人怎么能当男主?如果这部剧男主的突出点在于最后所谓的“相信人”，通观九集，根本没有立论点。首先，男主并不是他自己认为的那么善良。没参加游戏前，虽然也有喂猫的细节之处妄图来凸现男主善良的品格，但是相较于男主对自己母亲，女儿的做法，根,737,133,616回应
Fridy777,暂无评价,2021-09-24 13:02:41,发现,为了公平起见，我们不能事先公布游戏内容”——□这是□（管理员）的一句话。可现实是：第一个游戏：一二三木头人。这个“一二三木头人”也是第一次来的时候的暗号。六个游戏，其实都在宿舍的墙上，前期人多了被床挡着不容易被看到，后期人少了但是已经没有人有心思再去关注,236,1,42回应
沈 念,还行,2021-09-23 13:47:50,孔刘狂扇李政宰耳光的结果是，扇不醒,我照例是先讲一下剧情以及我从这部剧里看到的风景。帅气的李政宰欧巴在本剧是一个彻头彻尾的loser，失业、啃老、欠债数亿还因签了放弃身体的条约被人追杀，是底层最社畜最“烂”的人……一天，在地铁里，他得到了一个改变现实的机遇。西装笔挺的孔刘突然出现，主动邀请李政宰,360,34,70回应
dodo,推荐,2021-09-23 01:53:35,前8集有多精彩，第9集就有多拉胯,整个剧看起来还是非常爽的，说几个不完美的地方1.获胜者之一的哥哥，把肾都可以给弟弟，在紧要关头尽然可以无情射杀亲弟，这一点情感无法解释2.那个看上弟弟的肥老外，被反玩弄了，事后也不出来，也不声张，其他几个vip也不找他3.456对朝鲜女的情感迸发得有点过于饱满了，,291,59,258回应
哒哒娃,还行,2021-09-22 23:03:40,什么都想搭上一点，结果化了一个底气不足的妆,最近都在讨论这个，但似乎过誉了吧，4星5星毫不手软地往外甩，这是剧荒成什么样啊？怎么我全程看得心无波澜～想表达的太多，借鉴的也太多，好多眼熟的桥段，比如《饥饿游戏》《大逃杀》《移动迷宫》，故事过于拖沓，9集的容量其实可以再缩减一下。导演着重在讲什么呢？人类的,231,39,61回应
新京报书评周刊,暂无评价,2021-10-11 11:45:51,《鱿鱼游戏》：普通人与恶的距离，究竟有多远？,最近，韩剧《鱿鱼游戏》成了爆款。为何这部剧会爆火呢？它虚构了一个封闭环境中的比赛系统，乍看是对“一二三木头人”、拔河、打弹珠等童年游戏的复刻，实际上这个比赛系统却借此进行了残酷的杀戮竞赛。于是我们看到，每一个像主角成奇勋这样的小人物刚开始都是抱着半好奇半,62,,3回应
石墨,推荐,2021-10-05 16:18:13,关于鱿鱼游戏抄袭的几句话,0.不是为了黑这部大热剧，也不是看不起韩剧，只是实事求是。1.《鱿鱼游戏》这种“被邀请去玩游戏，输了就死，赢了得大奖”的思路，来自于福本伸行的漫画《赌博默示录》（1996年开始连载）；2.“把童年游戏变成恐怖的杀人活动”，这个思路来自于金城宗幸的漫画《诚如神之所,62,11,34回应
