,user_name,reviews_title,user_reviews,rank
0,MartinHafer," Never dull...but do NOT let your kids watch this one!
",NAN,10
1,Leofwine_draca," A new TV classic
",NAN,10
2,kosmasp," Just a game
","Well multiple games actually, but even that you may find ... not accurate. Now you may not look the same way at some games that are being played here. But with all the buzz right now, you've probably heard quite a bit about that already.If like you got into this without any spoilers (congrats by the way), then the show will be able to surprise quite a few times. Be it by the players themselves but also and even more so by how the story evolves. It may not end exactly how I would imagine ... but that can also be seen as a good thing I reckon.As a fan of Korean cinema I was curious about this anyway. And it did not dissapoint - at all. The acting is amazing, the effects are great ... and the story is as mature as it can get. With enough social commentary and critique to make this a great watch!",9
3,classicsoncall," ""We're in hell here. There's no rules in hell!"" - Deok-su, Episode #7
",NAN,8
4,lee_eisenberg," trust me, you have never seen anything like this
","Even if you've seen ""The Hunger Games"" and ""Money Heist"", ""Squid Game"" (called ""Ojing-eo Geim"" in the original Korean) is still going to shock you. The sad thing is that so many people have no other choice but to risk everything like the characters here.Definitely see it. You'll never look at any children's game the same way again after seeing it.",10
5,Tweekums," Games to die for
",NAN,10
6,phd_travel," Violent funny atypical K drama
",Exciting show that keeps you watching. The Korean part is the emotional connection with the characters and their financial problems and how they have family obligations. The violence although comically exaggerated is unusual for a K drama. Good acting from LSJ and PHS veteran actors. Striking set design gives it a visually glossy look. Whatever makes international audiences watch K dramas is good. This isn't a typical K drama and far from one of the best. But it's a swift watch.,8
7,FeastMode," if you think this is good, PLEASE watch the korean movie Oldboy
",I loved it but three last episodes killed the vibe.,5
8,Edvis-1997," 8
",NAN,8
9,Irishchatter," It started off strong but ended disoriented
","Greetings from Lithuania.I liked and enjoyed ""Squid Game"" (2021) series for its interesting and simple concept which at the end of the day was very solidly executed. Acting was very solid, as well as directing and writing. The whole concept felt fresh and kinda original and it was easy to get attached and watch the whole show. Ending was also pretty interesting, although a bit predictable.Overall, i enjoyed ""Squid Game"". It felt fresh and was involving as well being believable throughout. I believe that given its popularity it will get more seasons. As long as they will be solid as the first one, I'm in for this show.",7
10,851222," Good concept and solid excecution
","The production behind this show is representative of The Dangerous Game and Hunger Games. Satanic baddies that run the world are desperate to feel any kind of emotion, which apparently comes from dehumanizing the masses and defiling the innocent.Those that find fulfillment are already found to degeneracy. You are subconsciously being conditioned to accept this as the new normal. Pay attention. If you can afford it.Is it a joke if they are telling you what they are doing?",8
11,John6Daniels," 10th time. All Father give me strength.
","Korean Drama ""Squid Game"" is bloody, but, somehow, hopeful.It has a nice cinematography, with, sometimes, overused gore, but well executed action scenes. The background stories, moreover, set the drama apart from the rest of the survival game series, and it gives a more 'Korean Drama' feel to it. It makes the story more believable, as it helps the viewer relate to the characters and understand them. It also gave a more humane twist to the story and made it more dramatic, when the settings and the costumes were more on the childish side.Finally, the performances were great by everyone in the cast.So, overall, 7 out of 10.",1
12,pennyelenabooks," Good enough
","Creator and director Dong-hyuk Hwang certainly had one crazy vision, and successfully made a series of it. Sure it has plot and technical issues, and I wasn't fond of the ending - I re-wrote it in my head much better, but for a somewhat newb Korean filmmaker, this was epic.The visuals, props and sets were outstanding. The cinematography and score amazing. The casting and performances by all, except the VIP's, was excellent. Props to Neflix once again, and thanks for dubbing this one right this time. Hoping for a S2 real soon. A well deserved 8/10 from me.",7
13,Top_Dawg_Critic," 🦑🎮 Not close to perfect, but still amazing.
",NAN,10
14,RosanaBotafogo," Perfect, Beautiful and lovely...
","A great concept here as desperate people with financial problems compete for a huge sum of money(apparently $38 mil American). They must play games against one another with a severe penalty for losing. Like the Sopranos, with some of the episodes better than others. Number six was the best for me. The sets are Wes Anderson like, with bright colors filling the screen. The lead actors are excellent and the scripts very well written. The violence is over the top with no comic relief in sight. The final episode was a bit of a letdown but overall I was highly entertained.",8
15,billcr12," Addicting
","I genuinely enjoyed this show from beginning to end. A true social commentary on humanity, competition and avarice. When the carnage is occurring it's nail-biting and between the games you get compelling human drama - a fantastic addition to the ""kill game"" genre that seems to always be elevated by Korean talent behind and in front of the camera.",8
16,jamesrupert2014," Violent, implausible but oddly engrossing
",Entertaining and demonstrating human nature via this drama. My conclusion is not to be poor otherwise become a chess from rich.,8
17,kevin_robbins," The storyline for this series is very unique and was a creative spin on similar films like Battle Royale, Hunger Games and Lord of the Flies
","09/23/2021 The first few episodes were fun to watch as they played out but as the series progressed, a more serious, ominous storyline starts to unfold due to viewers empatheticly connecting with a few of the characters facing uncertainty as the game continues, even possible death? I found the series in the overall really great, refreshingly new and well planned out as it unfolded. I hope that somehow the series will continue on into the future with many more seasons to come? A great show from my perspective!",9
18,alindsay-al," A Fantastic truly unique show
","This is an entertaining series from South Korea that embodies elements of Korean Soap Opera, Chinese Operatic acting and Japanese theater. It uses classical Chinese opera techniques such as the wide open eyes to portray fear and anger....and a lot of shouting.It uses ""Hunger Games"" as it's base and survival of the fittest as its main theme. The story is well crafted but unfortunately starts to lose its grip on reality by about episode 4. It then slides into a lot of moralizing and philosophical conversations that culminates in the final episode. It is set up for a second season (if one can judge from the final episode) but runs the risk of becoming very formula driven Have to agree with the other comments about the group of ""actors"" playing the VIPs. They obviously came cheap and might not even have been actors at all! Enjoyable for what it's meant to be!",8
19,andrewchristianjr," A TRUE SOCIAL COMMENTARY ON HUMANITY, COMPETITION, AND AVARICE.
",NAN,7
20,ks-60500," Life is a game
",I really loved this shot series best series of the uear no question asked but the ending kinda bad but overall fantastic.,10
21,dwp1948," An Excellent New Korean Series Concept Viewers Enjoy - Highly Recommended
","One of the best and most interesting shows I've seen in recent years. I was hooked right from the start. Far out plot, wonderfully unique and layered characters, and a true breakneck pacing that's sure to keep you glued. I went in rather skeptical since hype has often let me down, but I can honestly say I was dead wrong. As soon as the credits rolled on the final episode, I had half a mind to start a rewatch with the new perspective the ending grants.Incredible.",7
22,Kingslaay," Ruthless and addictive
","One of the most beautiful series I've ever seen, finished in a few days one episode led to another and the desire to follow the series increases more and more. The tension is built very well game by game and the main characters are really well developed.",8
23,qui_j," Korean Soap Opera meets Hunger Games
",A tentacular dystopian vision of the depths those deserted of luck will descend to in order to recover their losses. Combines schadenfreude shades aplenty alongside some outstanding performances while asking some questions you might not want to find an answer to.,7
24,vengeance20," Pretty Good Series!
",NAN,9
25,zhyarTheChosen," Woouuuughhhhh
",NAN,9
26,Analog_Devotee," I was wrong to be skeptical.
","Decent set deco .Battle royal flavors.A bit long in runtime, especially after first half.Very bloody and gory at times.Addictive if thats your cup of tv tea.",9
27,Johnny-the-Film-Sentinel-2187," Tense commentary on society's MANY debts.
",NAN,10
28,gianmarcoronconi," Beautiful
",NAN,8
29,Xstal," The Court of Calamari...
",NAN,7
30,MadamWarden," SQUITE GOOD
","Most of the characters are very well written, sadly I can't say the same about the story. A lot of plotholes, and just overall sruff that didn't make sense. But apart from that, most aspects are pretty much fine. So all in all, an above average series but certainly not great or anything.7/10: good but not great.",8
31,gedikreverdi," Children's games have never been this exciting
","So.... the ENTIRE premise is based on 'let's play games that we played as kids, that were based on skill and that are completely fair, and we're ALL on equal ground'.... series keeps that premise from EP01 until EP05, where it becomes not only a rigged game, but also no longer based on skill, but COMPLETELY based on luck. This is a GIANT problem because the entire premise of ""we play fair games against each other, based on skill"" is throw out the window. Honestly, the series is pretty great before that, but after that, the series is a poor 5/10. If they didn't completely throw out the premise that the series was based on, half way down the line, then this would have been a 9/10 series. I think they should make a Season2, and I just hope to God that in Season2, they don't completely derail the premise like they did in Season1, because Season1 is completely spoiled because of that.",7
